NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
35,77,29,1,287,0,1,49,24,1,2.168978
35,65,9,3,283,0,1,39,19,1,1.532996
35,73,13,1,280,0,1,39,19,1,1.793997
35,86,20,4,279,0,1,53,26,1,1.868997
35,41,9,4,263,0,1,31,15,1,1.488993
35,77,27,2,287,0,1,52,26,1,1.810992
35,71,11,3,298,0,1,39,19,1,1.441993
35,70,14,2,235,0,1,35,17,1,1.396996
35,66,15,4,265,0,1,38,19,1,1.411994
35,56,20,2,265,0,1,33,16,1,1.766997
35,53,14,0,274,0,1,39,19,1,1.753995
35,58,20,1,269,0,1,33,16,1,1.772996
35,82,17,3,290,0,1,59,29,1,2.092995
35,83,38,8,272,0,1,49,24,1,2.300997
35,95,24,2,309,0,1,45,22,1,2.137999
35,113,47,3,320,0,1,85,42,1,2.894001
35,74,28,3,301,1,0,55,27,1,2.232995
35,63,8,1,301,0,1,37,18,1,1.671997
35,74,22,3,306,0,1,54,27,1,2.243994
35,60,20,2,294,0,1,37,18,1,1.826999
35,55,8,4,248,0,1,37,18,1,1.476996
35,77,24,4,259,0,1,46,23,1,1.812997
35,44,8,5,221,0,1,29,14,1,1.427998
35,76,19,4,250,1,0,54,27,1,1.80399
35,84,10,3,277,0,1,43,21,1,1.722997
35,71,17,3,259,1,0,47,23,1,1.656998
35,92,24,3,301,1,0,63,31,1,1.928999
35,81,14,0,344,0,1,59,29,1,2.080992
35,73,12,4,282,0,1,47,23,1,1.705524
35,67,34,5,313,0,1,61,30,1,2.125008
35,102,26,2,334,0,1,73,36,1,2.297996
35,71,26,3,242,0,1,47,23,1,1.734997
35,67,14,4,302,0,1,42,21,1,1.625999
35,63,19,3,254,0,1,37,18,1,1.389007
35,90,30,2,301,1,0,64,32,1,1.259013
35,89,30,1,289,0,1,53,26,1,1.618007
35,55,17,2,268,0,1,31,15,1,1.637009
35,94,32,3,334,1,0,81,40,1,2.123994
35,54,30,3,240,0,1,35,17,1,1.527997
35,72,21,4,290,0,1,47,23,1,1.825514
35,65,15,3,269,0,1,39,19,1,1.836993
35,35,17,2,242,0,1,25,12,1,1.310994
35,33,15,1,213,0,1,23,11,1,1.290995
35,85,25,2,239,0,1,45,22,1,1.505996
35,68,38,2,306,0,1,41,20,1,1.752997
35,72,26,2,265,0,1,39,19,1,1.895998
35,94,22,2,257,1,0,53,26,1,1.740004
35,93,9,2,350,0,1,58,29,1,2.078995
35,102,13,2,320,0,1,59,29,1,2.225528
35,110,25,6,334,1,0,75,37,1,2.128996
35,70,14,2,240,0,1,31,15,1,1.461998
35,60,20,3,283,1,0,45,22,1,1.701999
35,82,26,1,334,0,1,53,26,1,1.837995
35,74,22,2,329,0,1,49,24,1,2.148003
35,59,12,1,322,0,1,43,21,1,1.852996
35,34,9,2,197,0,1,21,10,1,1.24499
35,52,23,5,251,1,0,42,21,1,1.653019
35,64,23,1,259,1,0,43,21,1,1.563999
35,47,9,5,248,0,1,32,16,1,1.373997
35,85,30,2,319,0,1,57,28,1,2.168992
35,51,18,3,210,1,0,29,14,1,1.541
35,58,13,2,246,0,1,35,17,1,1.458994
35,54,17,6,297,0,1,41,20,1,1.711991
35,65,13,2,276,0,1,39,19,1,1.585999
35,80,37,0,279,1,0,55,27,1,2.348998
35,68,29,5,261,1,0,43,21,1,1.696
35,44,19,4,221,1,0,28,14,1,1.109
35,95,21,5,323,1,0,83,41,1,2.104997
35,108,23,2,381,0,1,91,45,1,2.203995
