NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames,GameTimeSeconds
15,0,0,0,0,0,1,13,6,1,0.272987
15,0,0,0,2,0,1,13,6,1,0.29799
15,0,0,0,0,1,0,13,6,1,0.31199
15,0,0,0,4,1,0,11,5,1,0.264992
15,0,0,0,5,0,1,13,6,1,0.32199
15,0,0,0,0,1,0,13,6,1,0.309988
15,0,0,0,0,1,0,11,5,1,0.269994
15,0,0,0,4,0,1,11,5,1,0.338986
15,0,0,0,1,1,0,13,6,1,0.326987
15,0,0,0,1,0,1,13,6,1,0.306972
15,0,0,0,3,0,1,9,4,1,0.320985
15,0,1,0,0,1,0,13,6,1,0.29899
15,0,0,0,1,1,0,13,6,1,0.300988
15,0,0,0,3,0,1,9,4,1,0.33399
15,0,0,0,1,1,0,13,6,1,0.354991
15,0,0,0,5,1,0,13,6,1,0.310989
15,0,0,0,2,1,0,13,6,1,0.357988
15,0,0,0,1,1,0,13,6,1,0.346987
15,0,0,0,0,0,1,11,5,1,0.293992
15,0,1,0,2,1,0,13,6,1,0.355984
15,0,0,0,4,1,0,11,5,1,0.335987
15,0,0,0,4,1,0,11,5,1,0.413979
15,0,0,0,4,1,0,11,5,1,0.381984
15,0,0,0,1,1,0,11,5,1,0.397988
15,0,0,0,0,1,0,11,5,1,0.361989
15,0,0,0,3,1,0,11,5,1,0.336989
15,0,0,0,0,1,0,13,6,1,0.360986
15,0,0,0,3,0,1,11,5,1,0.318001
15,0,0,0,1,0,1,9,4,1,0.299989
15,0,0,0,4,1,0,13,6,1,0.354989
15,0,0,0,4,1,0,11,5,1,0.357983
15,0,0,0,0,0,1,9,4,1,0.306984
15,0,0,0,4,0,1,13,6,1,0.32899
15,0,0,0,4,1,0,11,5,1,0.394992
15,0,0,0,0,1,0,13,6,1,0.34099
15,0,0,0,1,1,0,11,5,1,0.33399
15,0,0,0,5,1,0,12,6,1,0.419983
15,0,0,0,2,1,0,14,7,1,0.417981
15,0,0,0,3,1,0,13,6,1,0.402985
15,0,0,0,4,1,0,11,5,1,0.338988
15,0,1,0,5,1,0,14,7,1,0.465982
15,0,0,0,0,1,0,13,6,1,0.424984
15,0,0,0,4,1,0,13,6,1,0.370985
15,0,0,0,1,1,0,11,5,1,0.315981
15,0,0,0,2,0,1,9,4,1,0.312983
15,0,0,0,2,0,1,9,4,1,0.330986
15,0,0,0,0,0,1,13,6,1,0.320986
15,0,0,0,1,1,0,13,6,1,0.482982
15,0,0,0,2,1,0,12,6,1,0.455984
15,0,0,0,1,0,1,11,5,1,0.336988
15,0,0,0,2,1,0,11,5,1,0.33399
15,0,0,0,2,1,0,13,6,1,0.382985
15,0,0,0,1,1,0,13,6,1,0.399985
15,0,0,0,4,1,0,14,7,1,0.380988
15,0,0,0,4,1,0,13,6,1,0.350989
15,0,0,0,1,0,1,11,5,1,0.415984
15,0,0,0,0,0,1,13,6,1,0.374982
15,0,0,0,2,1,0,11,5,1,0.381986
15,0,0,0,1,0,1,9,4,1,0.286035
15,0,0,0,0,0,1,13,6,1,0.333986
15,0,0,0,4,1,0,11,5,1,0.335075
15,0,0,0,0,1,0,13,6,1,0.339983
15,0,0,0,3,1,0,12,6,1,0.360984
15,0,0,0,5,1,0,13,6,1,0.355985
15,0,0,0,3,1,0,12,6,1,0.354984
15,0,0,0,3,1,0,13,6,1,0.333984
15,0,0,0,1,0,1,5,2,1,0.193995
15,0,0,0,3,1,0,11,5,1,0.354988
15,0,0,0,5,0,1,13,6,1,0.405978
15,0,0,0,1,0,1,11,5,1,0.31299
15,0,0,0,4,1,0,14,7,1,0.424989
15,0,0,0,5,1,0,13,6,1,0.449977
15,0,0,0,4,1,0,13,6,1,0.479116
15,0,0,0,2,1,0,11,5,1,0.378984
15,0,0,0,0,0,1,13,6,1,0.435993
15,0,0,0,4,0,1,11,5,1,0.379985
15,0,0,0,5,1,0,13,6,1,0.471982
15,0,0,0,1,1,0,13,6,1,0.405987
15,0,2,0,3,1,0,13,6,1,0.405976
15,0,0,0,1,1,0,13,6,1,0.330984
15,0,0,0,3,1,0,11,5,1,0.371984
15,0,0,0,1,0,1,11,5,1,0.385982
15,0,0,0,3,1,0,11,5,1,0.346984
15,0,0,0,2,1,0,11,5,1,0.367987
15,0,1,0,3,1,0,13,6,1,0.393036
15,0,0,0,4,1,0,13,6,1,0.46098
15,0,1,0,4,1,0,13,6,1,0.399985
15,0,1,0,3,1,0,13,6,1,0.352989
15,0,0,0,3,0,1,13,6,1,0.387987
15,0,0,0,3,1,0,13,6,1,0.36299
15,0,0,0,3,0,1,9,4,1,0.311985
15,0,0,0,4,0,1,11,5,1,0.345985
15,0,0,0,3,0,1,9,4,1,0.279999
15,0,0,0,4,1,0,12,6,1,0.382966
15,0,0,0,0,0,1,3,1,1,0.200996
15,0,0,0,2,0,1,9,4,1,0.338984
15,0,0,0,0,1,0,13,6,1,0.342012
15,0,0,0,3,0,1,11,5,1,0.311988
15,0,0,0,4,1,0,11,5,1,0.339992
15,0,1,0,2,1,0,11,5,1,0.317982
15,0,0,0,3,0,1,11,5,1,0.351503
15,0,0,0,5,1,0,14,7,1,0.462981
15,0,0,0,3,1,0,11,5,1,0.406983
15,0,0,0,0,1,0,13,6,1,0.392993
15,0,0,0,5,1,0,13,6,1,0.440984
15,0,0,0,4,0,1,13,6,1,0.410966
15,0,0,0,3,0,1,9,4,1,0.334984
15,0,0,0,3,1,0,11,5,1,0.368986
15,0,0,0,5,1,0,12,6,1,0.398991
15,0,0,0,1,1,0,11,5,1,0.333987
15,0,0,0,3,1,0,11,5,1,0.398983
15,0,0,0,0,0,1,5,2,1,0.27399
15,0,0,0,3,1,0,11,5,1,0.367988
15,0,0,0,4,1,0,11,5,1,0.384971
15,0,0,0,3,1,0,12,6,1,0.401984
15,0,0,0,2,1,0,13,6,1,0.340992
15,0,0,0,2,0,1,13,6,1,0.411988
15,0,0,0,4,0,1,11,5,1,0.388989
15,0,0,0,4,0,1,13,6,1,0.407985
15,0,0,0,1,1,0,11,5,1,0.300992
15,0,0,0,1,1,0,11,5,1,0.278989
15,0,0,0,2,0,1,9,4,1,0.27499
15,0,0,0,0,0,1,7,3,1,0.211993
15,0,0,0,2,0,1,13,6,1,0.291982
15,0,0,0,4,1,0,13,6,1,0.34599
15,0,0,0,1,0,1,9,4,1,0.289995
15,0,0,0,0,1,0,13,6,1,0.303992
15,0,0,0,5,0,1,13,6,1,0.323979
15,0,0,0,0,0,1,11,5,1,0.324983
15,0,0,0,3,0,1,11,5,1,0.336989
15,0,0,0,4,1,0,13,6,1,0.360984
15,0,0,0,1,0,1,13,6,1,0.32699
15,0,0,0,4,1,0,11,5,1,0.323989
15,0,0,0,1,1,0,11,5,1,0.330997
15,0,0,0,1,1,0,13,6,1,0.332989
15,0,0,0,1,1,0,11,5,1,0.340987
15,0,0,0,5,1,0,13,6,1,0.439987
15,0,0,0,5,1,0,13,6,1,0.429982
15,0,0,0,1,1,0,11,5,1,0.349992
15,0,0,0,1,1,0,11,5,1,0.330989
15,0,0,0,0,0,1,3,1,1,0.17999
15,0,0,0,2,1,0,11,5,1,0.319987
15,0,0,0,1,1,0,13,6,1,0.334983
15,0,0,0,4,0,1,13,6,1,0.323987
15,0,0,0,3,1,0,11,5,1,0.376983
15,0,0,0,2,0,1,13,6,1,0.396984
15,0,0,0,1,1,0,13,6,1,0.370972
15,0,0,0,0,0,1,13,6,1,0.322993
15,0,0,0,0,1,0,11,5,1,0.313991
15,0,0,0,3,0,1,11,5,1,0.309975
15,0,0,0,2,1,0,13,6,1,0.297988
15,0,0,0,0,1,0,11,5,1,0.312987
15,0,0,0,3,1,0,13,6,1,0.338984
15,0,0,0,0,1,0,11,5,1,0.271989
15,0,0,0,5,1,0,13,6,1,0.398983
15,0,0,0,5,1,0,13,6,1,0.324991
15,0,0,0,4,1,0,13,6,1,0.32004
15,0,0,0,4,1,0,11,5,1,0.30299
15,0,0,0,1,0,1,5,2,1,0.185995
15,0,0,0,4,1,0,11,5,1,0.282039
15,0,0,0,0,1,0,11,5,1,0.306972
15,0,0,0,5,1,0,13,6,1,0.350989
15,0,0,0,3,1,0,11,5,1,0.309972
15,0,0,0,4,1,0,13,6,1,0.333986
15,0,0,0,2,1,0,14,7,1,0.397982
15,0,0,0,2,1,0,11,5,1,0.338986
15,0,0,0,1,0,1,13,6,1,0.357978
15,0,0,0,0,1,0,14,7,1,0.393983
15,0,0,0,1,0,1,5,2,1,0.227987
15,0,0,0,3,1,0,11,5,1,0.394987
15,0,0,0,0,1,0,13,6,1,0.363986
15,0,0,0,4,1,0,12,6,1,0.320965
15,0,0,0,3,0,1,13,6,1,0.313987
15,0,0,0,0,0,1,13,6,1,0.31999
15,0,0,0,0,1,0,11,5,1,0.258998
15,0,0,0,3,0,1,9,4,1,0.242996
15,0,0,0,1,1,0,13,6,1,0.299991
15,0,0,0,0,1,0,11,5,1,0.29299
15,0,1,0,3,1,0,11,5,1,0.346986
15,0,0,0,0,0,1,13,6,1,0.363991
15,0,0,0,2,0,1,9,4,1,0.340988
15,0,0,0,2,1,0,11,5,1,0.282989
15,0,0,0,1,0,1,5,2,1,0.202992
15,0,0,0,0,0,1,3,1,1,0.164998
15,0,0,0,0,0,1,11,5,1,0.282991
15,0,0,0,2,1,0,13,6,1,0.303985
15,0,0,0,0,0,1,5,2,1,0.198994
15,0,0,0,0,0,1,13,6,1,0.289994
15,0,0,0,3,1,0,11,5,1,0.276992
15,0,0,0,5,1,0,13,6,1,0.363056
15,0,0,0,4,0,1,13,6,1,0.31199
15,0,0,0,3,1,0,14,7,1,0.33699
15,0,0,0,0,0,1,13,6,1,0.293992
15,0,0,0,2,1,0,11,5,1,0.291991
15,0,0,0,0,0,1,9,4,1,0.247989
15,0,0,0,3,1,0,13,6,1,0.31299
15,0,0,0,3,1,0,13,6,1,0.33399
15,0,0,0,0,1,0,11,5,1,0.303991
15,0,0,0,5,1,0,13,6,1,0.321993
15,0,0,0,3,1,0,13,6,1,0.359996
15,0,0,0,2,1,0,13,6,1,0.324004
15,0,0,0,2,1,0,11,5,1,0.300989
15,0,0,0,4,1,0,13,6,1,0.369983
15,0,0,0,5,1,0,13,6,1,0.363989
15,0,0,0,3,1,0,13,6,1,0.322986
15,0,0,0,1,0,1,13,6,1,0.328989
15,0,0,0,1,1,0,11,5,1,0.281988
15,0,0,0,0,0,1,11,5,1,0.273991
15,0,1,0,2,0,1,9,4,1,0.25199
15,0,0,0,5,1,0,13,6,1,0.34599
15,0,0,0,4,1,0,11,5,1,0.348975
15,0,0,0,2,1,0,13,6,1,0.333991
15,0,0,0,3,1,0,13,6,1,0.353986
15,0,0,0,4,1,0,11,5,1,0.355983
15,0,0,0,5,1,0,13,6,1,0.364991
15,0,0,0,1,1,0,13,6,1,0.313988
15,0,0,0,4,0,1,13,6,1,0.315984
15,0,0,0,1,0,1,11,5,1,0.279989
15,0,0,0,0,1,0,13,6,1,0.315992
15,0,0,0,3,1,0,13,6,1,0.266992
15,0,0,0,2,1,0,11,5,1,0.256
15,0,0,0,3,1,0,13,6,1,0.248986
15,0,0,0,3,0,1,13,6,1,0.261994
15,0,0,0,1,0,1,11,5,1,0.234979
15,0,0,0,2,0,1,13,6,1,0.248992
15,0,1,0,3,0,1,11,5,1,0.222992
15,0,0,0,1,1,0,11,5,1,0.274978
15,0,0,0,1,1,0,14,7,1,0.283988
15,0,0,0,2,0,1,11,5,1,0.257991
15,0,1,0,3,1,0,11,5,1,0.257989
15,0,0,0,1,0,1,13,6,1,0.23299
15,0,0,0,0,1,0,12,6,1,0.242991
15,0,0,0,1,1,0,11,5,1,0.219987
15,0,0,0,5,1,0,13,6,1,0.209992
15,0,0,0,1,1,0,13,6,1,0.214998
15,0,0,0,0,1,0,11,5,1,0.173994
15,0,0,0,0,0,1,7,3,1,0.139996
15,0,0,0,5,0,1,13,6,1,0.23599
15,0,0,0,3,0,1,13,6,1,0.298989
15,0,0,0,5,1,0,13,6,1,0.258994
15,0,0,0,0,0,1,3,1,1,0.139997
15,0,0,0,1,1,0,13,6,1,0.230992
15,0,0,0,4,0,1,11,5,1,0.262988
15,0,0,0,3,1,0,11,5,1,0.190993
15,0,0,0,1,1,0,11,5,1,0.196995
15,0,0,0,2,1,0,11,5,1,0.165998
15,0,0,0,3,1,0,11,5,1,0.219987
15,0,0,0,3,1,0,13,6,1,0.305987
15,0,0,0,0,1,0,13,6,1,0.170994
15,0,0,0,1,0,1,9,4,1,0.149993
15,0,0,0,2,1,0,11,5,1,0.179994
15,0,0,0,5,0,1,13,6,1,0.212999
15,0,0,0,0,1,0,11,5,1,0.188995
15,0,0,0,4,0,1,13,6,1,0.230992
15,0,0,0,1,0,1,9,4,1,0.186994
